name,weight,height,id,bred_for,breed_group,life_span,temperament,origin,reference_image_id,image,country_code,description,history
Australian Cattle Dog,"{'imperial': '44 - 62', 'metric': '20 - 28'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",21,"Cattle herding, herding trials",Herding,12 - 14 years,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",,IBkYVm4v1,"{'id': 'IBkYVm4v1', 'width': 736, 'height': 850, 'url': 'https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg'}",AU,,
Australian Kelpie,"{'imperial': '31 - 46', 'metric': '14 - 21'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",22,"Farm dog, Cattle herding",Herding,10 - 13 years,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",,Hyq1ge9VQ,"{'id': 'Hyq1ge9VQ', 'width': 800, 'height': 533, 'url': 'https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg'}",AU,,
Australian Shepherd,"{'imperial': '35 - 65', 'metric': '16 - 29'}","{'imperial': '18 - 23', 'metric': '46 - 58'}",23,Sheep herding,Herding,12 - 16 years,"Good-natured, Affectionate, Intelligent, Active, Protective",,B1-llgq4m,"{'id': 'B1-llgq4m', 'width': 1200, 'height': 733, 'url': 'https://cdn2.thedogapi.com/images/B1-llgq4m.jpg'}",AU,,
Australian Terrier,"{'imperial': '14 - 16', 'metric': '6 - 7'}","{'imperial': '10 - 11', 'metric': '25 - 28'}",24,"Cattle herdering, hunting snakes and rodents",Terrier,15 years,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",,r1Ylge5Vm,"{'id': 'r1Ylge5Vm', 'width': 1081, 'height': 720, 'url': 'https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg'}",AU,,
Azawakh,"{'imperial': '33 - 55', 'metric': '15 - 25'}","{'imperial': '23 - 29', 'metric': '58 - 74'}",25,"Livestock guardian, hunting",Hound,10 - 13 years,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",,SkvZgx94m,"{'id': 'SkvZgx94m', 'width': 1024, 'height': 768, 'url': 'https://cdn2.thedogapi.com/images/SkvZgx94m.jpg'}",,,
Barbet,"{'imperial': '40 - 65', 'metric': '18 - 29'}","{'imperial': '20 - 26', 'metric': '51 - 66'}",26,Hunting water game,,13 – 15 years,"Obedient, Companionable, Intelligent, Joyful",,HyWGexcVQ,"{'id': 'HyWGexcVQ', 'width': 853, 'height': 1280, 'url': 'https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg'}",,,
Basenji,"{'imperial': '22 - 24', 'metric': '10 - 11'}","{'imperial': '16 - 17', 'metric': '41 - 43'}",28,Hunting,Hound,10 - 12 years,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",,H1dGlxqNQ,"{'id': 'H1dGlxqNQ', 'width': 740, 'height': 493, 'url': 'https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg'}",,,
Basset Bleu de Gascogne,"{'imperial': '35 - 40', 'metric': '16 - 18'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",29,Hunting on foot.,Hound,10 - 14 years,"Affectionate, Lively, Agile, Curious, Happy, Active",,BkMQll94X,"{'id': 'BkMQll94X', 'width': 1280, 'height': 853, 'url': 'https://cdn2.thedogapi.com/images/BkMQll94X.jpg'}",,,
Basset Hound,"{'imperial': '50 - 65', 'metric': '23 - 29'}","{'imperial': '14', 'metric': '36'}",30,Hunting by scent,Hound,12 - 15 years,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",,Sy57xx9EX,"{'id': 'Sy57xx9EX', 'width': 1024, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg'}",,,
Beagle,"{'imperial': '20 - 35', 'metric': '9 - 16'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",31,"Rabbit, hare hunting",Hound,13 - 16 years,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",,Syd4xxqEm,"{'id': 'Syd4xxqEm', 'width': 1000, 'height': 667, 'url': 'https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg'}",,,
Bearded Collie,"{'imperial': '45 - 55', 'metric': '20 - 25'}","{'imperial': '20 - 22', 'metric': '51 - 56'}",32,Sheep herding,Herding,12 - 14 years,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",,A09F4c1qP,"{'id': 'A09F4c1qP', 'width': 733, 'height': 733, 'url': 'https://cdn2.thedogapi.com/images/A09F4c1qP.jpg'}",,,
Beauceron,"{'imperial': '80 - 110', 'metric': '36 - 50'}","{'imperial': '24 - 27.5', 'metric': '61 - 70'}",33,"Boar herding, hunting, guarding",Herding,10 - 12 years,"Fearless, Friendly, Intelligent, Protective, Calm",,HJQ8ge5V7,"{'id': 'HJQ8ge5V7', 'width': 720, 'height': 563, 'url': 'https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg'}",,,
Bedlington Terrier,"{'imperial': '17 - 23', 'metric': '8 - 10'}","{'imperial': '15 - 16', 'metric': '38 - 41'}",34,"Killing rat, badger, other vermin",Terrier,14 - 16 years,"Affectionate, Spirited, Intelligent, Good-tempered",,ByK8gx947,"{'id': 'ByK8gx947', 'width': 804, 'height': 531, 'url': 'https://cdn2.thedogapi.com/images/ByK8gx947.jpg'}",,,
Belgian Malinois,"{'imperial': '40 - 80', 'metric': '18 - 36'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",36,Stock herding,Herding,12 - 14 years,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",,r1f_ll5VX,"{'id': 'r1f_ll5VX', 'width': 604, 'height': 453, 'url': 'https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg'}",,,
Belgian Tervuren,"{'imperial': '40 - 65', 'metric': '18 - 29'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",38,"Guarding, Drafting, Police work.",Herding,10 - 12 years,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",,B1KdxlcNX,"{'id': 'B1KdxlcNX', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg'}",,,
Bernese Mountain Dog,"{'imperial': '65 - 120', 'metric': '29 - 54'}","{'imperial': '23 - 27.5', 'metric': '58 - 70'}",41,Draft work,Working,7 - 10 years,"Affectionate, Loyal, Intelligent, Faithful",,S1fFlx5Em,"{'id': 'S1fFlx5Em', 'width': 640, 'height': 427, 'url': 'https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg'}",,,
Bichon Frise,"{'imperial': '10 - 18', 'metric': '5 - 8'}","{'imperial': '9.5 - 11.5', 'metric': '24 - 29'}",42,Companion,Non-Sporting,15 years,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",,HkuYlxqEQ,"{'id': 'HkuYlxqEQ', 'width': 480, 'height': 360, 'url': 'https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg'}",,,
Black and Tan Coonhound,"{'imperial': '65 - 100', 'metric': '29 - 45'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",43,"Hunting raccoons, night hunting",Hound,10 - 12 years,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",,HJAFgxcNQ,"{'id': 'HJAFgxcNQ', 'width': 556, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg'}",,,
Bloodhound,"{'imperial': '80 - 110', 'metric': '36 - 50'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",45,Trailing,Hound,8 - 10 years,"Stubborn, Affectionate, Gentle, Even Tempered",,Skdcgx9VX,"{'id': 'Skdcgx9VX', 'width': 586, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg'}",,,
Bluetick Coonhound,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '21 - 27', 'metric': '53 - 69'}",47,Hunting with a superior sense of smell.,Hound,12 - 14 years,"Friendly, Intelligent, Active",,rJxieg9VQ,"{'id': 'rJxieg9VQ', 'width': 731, 'height': 599, 'url': 'https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg'}",,,
Boerboel,"{'imperial': '110 - 200', 'metric': '50 - 91'}","{'imperial': '22 - 27', 'metric': '56 - 69'}",48,"Guarding the homestead, farm work.",Working,10 - 12 years,"Obedient, Confident, Intelligent, Dominant, Territorial",,HyOjge5Vm,"{'id': 'HyOjge5Vm', 'width': 1200, 'height': 669, 'url': 'https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg'}",,,
Border Collie,"{'imperial': '30 - 45', 'metric': '14 - 20'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",50,Sheep herder,Herding,12 - 16 years,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",,sGQvQUpsp,"{'id': 'sGQvQUpsp', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg'}",,,
Border Terrier,"{'imperial': '11.5 - 15.5', 'metric': '5 - 7'}","{'imperial': '11 - 16', 'metric': '28 - 41'}",51,"Fox bolting, ratting",Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",,HJOpge9Em,"{'id': 'HJOpge9Em', 'width': 674, 'height': 450, 'url': 'https://cdn2.thedogapi.com/images/HJOpge9Em.jpg'}",,,
Boston Terrier,"{'imperial': '10 - 25', 'metric': '5 - 11'}","{'imperial': '16 - 17', 'metric': '41 - 43'}",53,"Ratting, Companionship",Non-Sporting,11 - 13 years,"Friendly, Lively, Intelligent",,rkZRggqVX,"{'id': 'rkZRggqVX', 'width': 1010, 'height': 673, 'url': 'https://cdn2.thedogapi.com/images/rkZRggqVX.jpg'}",,,
Bouvier des Flandres,"{'imperial': '70 - 110', 'metric': '32 - 50'}","{'imperial': '23.5 - 27.5', 'metric': '60 - 70'}",54,Cattle herding,Herding,10 - 15 years,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",,Byd0xl5VX,"{'id': 'Byd0xl5VX', 'width': 680, 'height': 454, 'url': 'https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg'}",,,
Boxer,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '21.5 - 25', 'metric': '55 - 64'}",55,"Bull-baiting, guardian",Working,8 - 10 years,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",,ry1kWe5VQ,"{'id': 'ry1kWe5VQ', 'width': 645, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg'}",,,
Boykin Spaniel,"{'imperial': '25 - 40', 'metric': '11 - 18'}","{'imperial': '14 - 18', 'metric': '36 - 46'}",56,Turkey retrieving,Sporting,10 - 14 years,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",,ryHJZlcNX,"{'id': 'ryHJZlcNX', 'width': 577, 'height': 634, 'url': 'https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg'}",,,
Bracco Italiano,"{'imperial': '55 - 88', 'metric': '25 - 40'}","{'imperial': '21.5 - 26.5', 'metric': '55 - 67'}",57,Versatile gun dog,Sporting,10 - 12 years,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",,S13yZg5VQ,"{'id': 'S13yZg5VQ', 'width': 750, 'height': 505, 'url': 'https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg'}",,,
Briard,"{'imperial': '70 - 90', 'metric': '32 - 41'}","{'imperial': '22 - 27', 'metric': '56 - 69'}",58,"Herding, guarding sheep",Herding,10 - 12 years,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",,rkVlblcEQ,"{'id': 'rkVlblcEQ', 'width': 768, 'height': 576, 'url': 'https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg'}",,,
Brittany,"{'imperial': '30 - 45', 'metric': '14 - 20'}","{'imperial': '17.5 - 20.5', 'metric': '44 - 52'}",59,"Pointing, retrieving",Sporting,12 - 14 years,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",,HJWZZxc4X,"{'id': 'HJWZZxc4X', 'width': 900, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg'}",,,
Bull Terrier,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '21 - 22', 'metric': '53 - 56'}",61,"Bull baiting, Fighting",Terrier,10 - 12 years,"Trainable, Protective, Sweet-Tempered, Keen, Active",,VSraIEQGd,"{'id': 'VSraIEQGd', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/VSraIEQGd.jpg'}",,,
Bull Terrier (Miniature),"{'imperial': '25 - 33', 'metric': '11 - 15'}","{'imperial': '10 - 14', 'metric': '25 - 36'}",62,An elegant man's fashion statement,,11 – 14 years,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",,BkKZWlcVX,"{'id': 'BkKZWlcVX', 'width': 674, 'height': 450, 'url': 'https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg'}",,,
Bullmastiff,"{'imperial': '100 - 130', 'metric': '45 - 59'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",64,Estate guardian,Working,8 - 12 years,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",,r1ifZl5E7,"{'id': 'r1ifZl5E7', 'width': 850, 'height': 638, 'url': 'https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg'}",,,
Cairn Terrier,"{'imperial': '13 - 14', 'metric': '6 - 6'}","{'imperial': '9 - 10', 'metric': '23 - 25'}",65,"Bolting of otter, foxes, other vermin",Terrier,14 - 15 years,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",,Sk7Qbg9E7,"{'id': 'Sk7Qbg9E7', 'width': 1254, 'height': 836, 'url': 'https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg'}",,,
Cane Corso,"{'imperial': '88 - 120', 'metric': '40 - 54'}","{'imperial': '23.5 - 27.5', 'metric': '60 - 70'}",67,"Companion, guard dog, and hunter",Working,10 - 11 years,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",,r15m-lc4m,"{'id': 'r15m-lc4m', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/r15m-lc4m.jpg'}",,,
Cardigan Welsh Corgi,"{'imperial': '25 - 38', 'metric': '11 - 17'}","{'imperial': '10.5 - 12.5', 'metric': '27 - 32'}",68,Cattle droving,Herding,12 - 14 years,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",,SyXN-e9NX,"{'id': 'SyXN-e9NX', 'width': 800, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg'}",,,
Catahoula Leopard Dog,"{'imperial': '50 - 95', 'metric': '23 - 43'}","{'imperial': '20 - 26', 'metric': '51 - 66'}",69,Driving livestock,Herding,10 - 12 years,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",,BJcNbec4X,"{'id': 'BJcNbec4X', 'width': 650, 'height': 650, 'url': 'https://cdn2.thedogapi.com/images/BJcNbec4X.jpg'}",,,
Caucasian Shepherd (Ovcharka),"{'imperial': '80 - 100', 'metric': '36 - 45'}","{'imperial': '24 - 33.5', 'metric': '61 - 85'}",70,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",Working,10 - 12 years,"Alert, Quick, Dominant, Powerful, Calm, Strong",,r1rrWe5Em,"{'id': 'r1rrWe5Em', 'width': 1024, 'height': 682, 'url': 'https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg'}",,,
Cavalier King Charles Spaniel,"{'imperial': '13 - 18', 'metric': '6 - 8'}","{'imperial': '12 - 13', 'metric': '30 - 33'}",71,"Flushing small birds, companion",Toy,10 - 14 years,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",,HJRBbe94Q,"{'id': 'HJRBbe94Q', 'width': 961, 'height': 558, 'url': 'https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg'}",,,
Chesapeake Bay Retriever,"{'imperial': '55 - 80', 'metric': '25 - 36'}","{'imperial': '21 - 26', 'metric': '53 - 66'}",76,Water Retriever,Sporting,10 - 13 years,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",,9BXwUeCc2,"{'id': '9BXwUeCc2', 'width': 600, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg'}",,,
Chinese Crested,"{'imperial': '10 - 13', 'metric': '5 - 6'}","{'imperial': '11 - 13', 'metric': '28 - 33'}",78,"Ratting, lapdog, curio",Toy,10 - 14 years,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",,B1pDZx9Nm,"{'id': 'B1pDZx9Nm', 'width': 1200, 'height': 798, 'url': 'https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg'}",,,
Chinese Shar-Pei,"{'imperial': '45 - 60', 'metric': '20 - 27'}","{'imperial': '18 - 20', 'metric': '46 - 51'}",79,Fighting,Non-Sporting,10 years,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",,B1ruWl94Q,"{'id': 'B1ruWl94Q', 'width': 1049, 'height': 761, 'url': 'https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg'}",,,
Chinook,"{'imperial': '50 - 90', 'metric': '23 - 41'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",80,Sled pulling,Working,12 - 15 years,"Friendly, Alert, Dignified, Intelligent, Calm",,Sypubg54Q,"{'id': 'Sypubg54Q', 'width': 600, 'height': 478, 'url': 'https://cdn2.thedogapi.com/images/Sypubg54Q.jpg'}",,,
Chow Chow,"{'imperial': '40 - 70', 'metric': '18 - 32'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",81,"Guardian, cart pulling, hunting",Non-Sporting,12 - 15 years,"Aloof, Loyal, Independent, Quiet",,ry8KWgqEQ,"{'id': 'ry8KWgqEQ', 'width': 1010, 'height': 673, 'url': 'https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg'}",,,
Clumber Spaniel,"{'imperial': '55 - 85', 'metric': '25 - 39'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",84,"Bird flushing, retrieving",Sporting,10 - 12 years,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",,rkeqWgq4Q,"{'id': 'rkeqWgq4Q', 'width': 762, 'height': 533, 'url': 'https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg'}",,,
Cocker Spaniel,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '14 - 15', 'metric': '36 - 38'}",86,"Bird flushing, retrieving",Sporting,12 - 15 years,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",,1lFmrzECl,"{'id': '1lFmrzECl', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/1lFmrzECl.jpg'}",,,
Cocker Spaniel (American),"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '14 - 15', 'metric': '36 - 38'}",87,Hunting the American woodcock,Sporting,12 - 15 years,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",,HkRcZe547,"{'id': 'HkRcZe547', 'width': 1024, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/HkRcZe547.jpg'}",,,
